event_id,timestamp,source_ip,destination_ip,event_type,tactic,technique_id,severity,is_malicious,tactic_encoded,severity_encoded,mcdm_score,threat_actor
55b02c1a-dfb0-4f5d-8a76-3c1805fb9a93,2026-03-17T12:29:07.259520+00:00,10.19.92.70,192.168.172.222,Reconnaissance:T1592.002,Reconnaissance,T1592.002,low,True,0,0,7.45,APT28
06b4ae6d-35bf-4bb3-a75f-715b8287efa6,2026-03-17T12:29:15.273370+00:00,172.20.190.96,192.168.36.250,Initial Access:T1566.001,Initial Access,T1566.001,high,True,1,2,6.4,APT28
dd6c9534-ee54-4ca4-b54a-8b96b105fd40,2026-03-17T12:29:18.791784+00:00,10.138.183.55,10.58.99.74,Execution:T1059.001,Execution,T1059.001,high,True,2,2,7.05,APT28
8ae262d3-acf1-450a-bb0d-0bf122990df6,2026-03-17T12:29:24.819286+00:00,192.168.80.89,192.168.40.33,Persistence:T1547.001,Persistence,T1547.001,high,True,3,2,6.8,APT28
0332836e-5c66-4b10-af5a-98df8bb13220,2026-03-17T12:29:29.836282+00:00,172.16.128.189,172.26.9.151,Privilege Escalation:T1548.002,Privilege Escalation,T1548.002,critical,True,4,3,6.05,APT28
78ea5adc-36d8-4295-9a36-6aa39b1da72c,2026-03-17T12:29:35.849051+00:00,172.27.123.164,192.168.17.240,Defense Evasion:T1036.005,Defense Evasion,T1036.005,high,True,5,2,7.25,APT28
6f5230dc-89ad-439b-914a-3fe921bc4f76,2026-03-17T12:29:40.349749+00:00,10.27.167.253,10.29.212.54,Credential Access:T1552.002,Credential Access,T1552.002,critical,True,6,3,6.8,APT28
98895a47-5b8a-43a7-9626-9fdb222d11c9,2026-03-17T12:29:46.864421+00:00,10.163.229.127,10.122.112.94,Discovery:T1087.002,Discovery,T1087.002,medium,True,7,1,7.1,APT28
c3a45998-54e1-4b66-bf87-4ad92f5c4ac0,2026-03-17T12:29:52.893847+00:00,192.168.111.18,192.168.160.129,Discovery:T1016,Discovery,T1016,medium,True,7,1,6.6,APT28
8469e01a-d202-430e-bd69-5e6db2f9632b,2026-03-17T12:29:58.910435+00:00,172.23.102.156,10.40.30.56,Lateral Movement:T1021.006,Lateral Movement,T1021.006,high,True,8,2,7.2,APT28
b1c910eb-9760-4d00-92fe-562f796e0a4a,2026-03-17T12:30:04.925117+00:00,10.86.196.242,192.168.63.194,Collection:T1005,Collection,T1005,medium,True,9,1,6.8,APT28
fcf338af-7041-4dd2-95e2-9ffe9921262a,2026-03-17T12:30:14.939416+00:00,192.168.130.4,192.168.150.90,Exfiltration:T1041,Exfiltration,T1041,critical,True,10,3,6.7,APT28
96b586f2-9501-4bdb-b24f-3e2f7d0e08a5,2026-03-17T12:30:20.970983+00:00,172.23.67.236,172.27.62.205,Command and Control:T1071.001,Command and Control,T1071.001,critical,True,11,3,7.45,APT28
